,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
168,Josh Jackson,KU,4,31.3,8,2.0,26,6.5,34,8.5,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31.3,65,26-49,.531,5-13,.385,8-12,.667,,,,,,,,,
169,Josh McRoberts,DUKE,1,40.0,6,6.0,6,6.0,12,12.0,12.0,32,35.1,63,2.0,185,5.8,248,7.8,8.8,3,10.3,3.3,6.0,10,18,.556,10,15,.667,1.72,.556,33,8.5,3.2,5.2,105,172,.610,100,162,.617,1.63,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,4,4.0,1,1.0,4.0,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,5,0,5.00,5.00,0.00,32,35.1,77,83,2.41,2.74,0.93,1,40.0,22.0,7.0-14.0,.500,0.0-0.0,.000,8.0-11.0,.727,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Josh Powell,NCST,1,42.0,4,4.0,5,5.0,9,9.0,8.6,,,,,,,,,,1,17.0,6.0,11.0,6,11,.545,6,10,.600,1.55,.545,30,12.3,4.6,8.0,138,241,.573,129,218,.592,1.53,.591,2,5.0,2.0,2.5,4,5,.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42.0,4,3,4.00,3.81,1.33,,,,,,,,1,42.0,17.0,6.0-11.0,.545,0.0-1.0,.000,5.0-8.0,.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Julian Wright,KU,4,29.0,9,2.3,18,4.5,27,6.8,9.3,34,27.4,87,2.6,184,5.4,271,8.0,11.6,1,8.0,4.0,5.0,4,5,.800,4,5,.800,1.60,.800,34,12.1,5.0,9.1,171,309,.553,168,297,.566,1.33,.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29.0,2,2.00,2.76,1,1.00,2,2.00,1.00,,,,,,,,,,,,,,,,,,34,27.4,49,83,1.44,2.10,0.59,,,,,,,,,,,,,,,,,,,4,29.0,46,19-37,.514,0-1,.000,8-15,.533,,,,,,,,,
172,Julius Hodge,NCST,2,37.5,3,1.5,13,6.5,16,8.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.0,6.0,6.0,6,6,1.000,29,18.6,5.3,6.4,154,186,.828,,,,,,,,,,,,,,,,,,,,,,,,,3,38.3,20,6.7,7,2.3,7.0,2.86,31,34.3,142,4.6,82,2.6,5.3,1.73,3,38.3,6,2.00,2.09,7,2.33,6,0.86,1.00,,,,,,,,,,,1,43.0,3,3,3.00,2.79,1.00,,,,,,,,3,38.3,16.7,5.7-12.7,.447,0.0-1.7,.000,5.3-6.3,.842,29,34.7,18.6,6.2-12.0,.513,0.9-2.4,.377,5.3-6.4,.828,3,38.3,50,17-38,.447,0-5,.000,16-19,.842,29,34.7,538,179-349,.513,26-69,.377,154-186,.828
173,Julius Randle,UK,6,32.2,21,3.5,38,6.3,59,9.8,12.2,34,30.6,119,3.5,239,7.0,358,10.5,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32.2,89,32-65,.492,0-4,.000,25-35,.714,,,,,,,,,
174,Julyan Stone,UTEP,1,33.0,2,2.0,7,7.0,9,9.0,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0,1.0,2,1,2,.500,1,3,.333,1.00,.500,,,,,,,,,,,,,1,33.0,7,7.0,1,1.0,8.5,7.00,32,30.6,173,5.4,65,2.0,7.1,2.66,1,33.0,3,3.00,3.64,1,1.00,1,3.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Justin Hamilton,LSU,1,30.0,4,4.0,5,5.0,9,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.0,9.0,9.0,9,9,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30.0,21.0,6.0-10.0,.600,0.0-0.0,.000,9.0-9.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Justin Jackson,CIN,1,37.0,6,6.0,5,5.0,11,11.0,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.0,2,5,2.00,3.64,0.40,33,27.5,95,101,2.88,4.19,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Justise Winslow,DUKE,6,31.3,6,1.0,50,8.3,56,9.3,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14.3,1.3,2,8,14,.571,20,41,.488,1.56,.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.3,10,16,1.67,2.13,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,6,31.3,86,28-55,.509,8-14,.571,22-29,.759,,,,,,,,,
178,KJ McDaniels,CLEM,4,36.5,9,2.3,23,5.8,32,8.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17.0,4.3,5.1,138,163,.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36.5,14,7,3.50,3.84,2.00,28,27.5,58,62,2.07,3.01,0.94,,,,,,,,,,,,,,,,,,,4,36.5,69,24-42,.571,5-11,.455,16-20,.800,,,,,,,,,
179,Kasib Powell,TTU,5,39.6,10,2.0,24,4.8,34,6.8,6.9,,,,,,,,,,5,15.6,5.8,9.8,29,49,.592,29,49,.592,1.59,.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,39.6,18,3.6,12,2.4,3.6,1.50,30,35.0,133,4.4,43,1.4,5.1,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39.0,19.0,8.0-20.0,.400,0.0-0.0,.000,3.0-4.0,.750,,,,,,,,,,5,39.6,78,29-49,.592,0-0,.000,20-30,.667,,,,,,,,,
180,Kawhi Leonard,SDSU,1,33.0,3,3.0,7,7.0,10,10.0,12.1,33,31.2,116,3.5,210,6.4,326,9.9,12.6,,,,,,,,,,,,,,,,,,,,,,,,,3,16.3,2.3,2.7,7,8,.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.0,2,2.00,2.42,2,2.00,3,1.00,0.67,,,,,,,,,,,1,33.0,3,3,3.00,3.64,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,3,37.0,49,19-40,.475,4-10,.400,7-8,.875,,,,,,,,,
181,Keith Benson,OAK,1,39.0,2,2.0,9,9.0,11,11.0,11.3,34,27.7,88,2.6,178,5.2,266,7.8,11.3,,,,,,,,,,,,,34,14.1,5.2,8.3,178,282,.631,178,281,.633,1.70,.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,3,3.00,3.00,1,1.00,3,3.00,1.00,,,,,,,,,,,1,39.0,3,4,3.00,3.08,0.75,34,27.7,86,107,2.53,3.65,0.80,1,40.0,28.0,9.0-19.0,.474,0.0-0.0,.000,10.0-16.0,.625,34,32.2,18.0,6.6-12.0,.553,0.3-0.6,.409,4.5-7.0,.647,,,,,,,,,,34,31.0,579,199-371,.536,2-5,.400,179-245,.731
182,Kelly Olynyk,GONZ,2,37.0,8,4.0,11,5.5,19,9.5,10.3,,,,,,,,,,,,,,,,,,,,,,30,17.5,6.6,10.2,199,305,.652,190,279,.681,1.72,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37.0,23.5,8.0-18.5,.432,0.0-2.0,.000,7.5-10.5,.714,30,25.7,17.5,6.6-10.2,.652,0.3-0.9,.346,3.9-5.0,.785,2,37.0,47,16-37,.432,0-4,.000,15-21,.714,30,25.7,524,199-305,.652,9-26,.346,117-149,.785
183,Kenneth Faried,MORE,2,32.5,8,4.0,18,9.0,26,13.0,16.0,30,20.2,101,3.4,140,4.7,241,8.0,15.9,2,21.0,8.0,13.5,16,27,.593,16,27,.593,1.56,.593,33,16.6,6.3,11.2,208,370,.562,207,366,.566,1.48,.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,29.8,66,1.94,2.60,73,2.15,99,0.90,0.67,2,32.5,4,7,2.00,2.46,0.57,33,30.2,63,108,1.91,2.53,0.58,2,32.5,21.0,8.0-13.5,.593,0.0-0.0,.000,5.0-7.0,.714,33,34.6,17.6,6.8-10.5,.644,0.0-0.0,.000,4.1-7.0,.578,2,32.5,42,16-27,.593,0-0,.000,10-14,.714,33,30.2,548,208-370,.562,1-4,.250,131-223,.587
184,Kent Bazemore,ODU,2,34.0,6,3.0,11,5.5,17,8.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,6,3.00,3.53,8,4.00,3,0.75,2.00,34,26.5,64,1.88,2.84,67,1.97,80,0.96,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Kevin Durant,TEX,2,39.0,4,2.0,13,6.5,17,8.5,8.7,33,35.7,102,3.1,271,8.2,373,11.3,12.7,,,,,,,,,,,,,,,,,,,,,,,,,2,28.5,10.5,12.0,21,24,.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39.0,4,2.00,2.05,7,3.50,5,0.57,0.80,33,35.7,62,1.88,2.11,92,2.79,66,0.67,0.94,2,39.0,3,5,1.50,1.54,0.60,33,35.7,64,66,1.94,2.18,0.97,2,39.0,28.5,8.5-18.5,.459,1.0-6.5,.154,10.5-12.0,.875,33,35.7,25.6,8.8-18.5,.474,2.4-5.8,.421,5.7-7.0,.810,2,39.0,57,17-37,.459,2-13,.154,21-24,.875,33,35.7,846,289-610,.474,80-190,.421,188-232,.810
186,Kevin Jones,WVU,2,35.5,8,4.0,10,5.0,18,9.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.5,2.0,3,4,6,.667,5,12,.417,1.39,.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33.8,5,5,1.00,1.18,1.00,,,,,,,,,,,,,,,,,32,38.3,20.1,8.0-15.5,.513,1.1-3.9,.272,3.1-4.0,.781,5,33.8,67,25-47,.532,9-17,.529,8-18,.444,32,38.3,644,255-497,.513,34-125,.272,100-128,.781
187,Kevin Love,UCLA,5,32.4,15,3.0,38,7.6,53,10.6,13.1,34,29.2,127,3.7,235,6.9,362,10.6,14.6,5,19.8,7.2,12.6,36,63,.571,30,45,.667,1.57,.619,34,17.1,5.6,10.1,191,343,.557,168,279,.602,1.70,.590,5,19.8,4.2,5.2,21,26,.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32.4,20,10,4.00,4.94,2.00,,,,,,,,5,32.4,19.8,7.2-12.6,.571,1.2-3.6,.333,4.2-5.2,.808,34,29.2,17.1,5.6-10.1,.557,0.7-1.9,.359,5.2-6.8,.763,5,32.4,99,36-63,.571,6-18,.333,21-26,.808,34,29.2,582,191-343,.557,23-64,.359,177-232,.763
188,Kevon Looney,UCLA,3,31.7,11,3.7,18,6.0,29,9.7,12.2,33,30.8,111,3.4,191,5.8,302,9.2,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Kris Joseph,SYR,2,36.0,2,1.0,17,8.5,19,9.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.0,3.5,4.0,7,8,.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Kyle Anderson,UCLA,1,30.0,2,2.0,9,9.0,11,11.0,14.7,34,29.9,72,2.1,219,6.4,291,8.6,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.0,16,5.3,9,3.0,6.5,1.78,33,33.2,217,6.6,101,3.1,7.9,2.15,,,,,,,,,,,34,29.9,62,1.82,2.44,69,2.03,70,0.90,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Kyle Collinsworth,BYU,3,35.7,7,2.3,26,8.7,33,11.0,12.3,32,31.0,80,2.5,199,6.2,279,8.7,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,10,10.0,5,5.0,15.4,2.00,32,31.0,187,5.8,91,2.8,7.5,2.05,3,35.7,8,2.67,2.99,6,2.00,7,1.33,1.14,32,31.0,59,1.84,2.38,91,2.84,69,0.65,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31.3,67,24-46,.522,0-2,.000,19-30,.633,,,,,,,,,
192,Kyle Korver,CREI,1,35.0,5,5.0,4,4.0,9,9.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15.0,3.5,3.5,7,7,1.000,27,15.1,3.3,3.8,90,102,.882,1,21.0,5.0,9,5,9,.556,2,5,.400,1.50,.679,27,15.1,2.7,6,72,170,.424,51,86,.593,1.59,.621,1,35.0,5,5.0,5,5.0,5.7,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35.0,21.0,7.0-14.0,.500,5.0-9.0,.556,2.0-2.0,1.000,33,31.7,17.7,5.3-11.4,.467,3.8-7.9,.477,3.2-3.6,.907,,,,,,,,,,33,31.7,583,176-377,.467,124-260,.477,107-118,.907
193,Kyle Kuzma,UTAH,1,37.0,4,4.0,5,5.0,9,9.0,9.7,28,30.6,77,2.8,185,6.6,262,9.4,12.2,2,10.5,4.0,6.5,8,13,.615,5,8,.625,1.62,.731,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10.5,1.5,3,3,5,.600,5,8,.625,1.62,.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.0,3,2,3.00,3.24,1.50,,,,,,,,1,37.0,21.0,9.0-16.0,.563,0.0-3.0,.000,3.0-6.0,.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Kyle O'Quinn,NORF,2,30.5,6,3.0,11,5.5,17,8.5,11.1,30,28.3,80,2.7,181,6.0,261,8.7,12.3,,,,,,,,,,,,,30,11.5,4.8,8.8,145,264,.549,129,197,.655,1.31,.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.5,3,7,1.50,1.97,0.43,30,28.3,51,94,1.70,2.40,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,31.3,542,194-333,.583,5-28,.179,149-213,.700
195,Kyle Weaver,WSU,2,40.0,4,2.0,10,5.0,14,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.0,12,6.0,10,5.0,6.0,1.20,32,32.9,142,4.4,89,2.8,5.4,1.60,2,40.0,5,2.50,2.50,10,5.00,6,0.50,0.83,32,33.5,69,2.16,2.57,83,2.59,67,0.83,1.03,3,35.7,5,3,1.67,1.87,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,3,35.7,39,14-31,.452,0-5,.000,11-19,.579,,,,,,,,,
196,LaMarcus Aldridge,TEX,4,38.8,14,3.5,27,6.8,41,10.3,10.6,33,33.1,121,3.7,177,5.4,298,9.0,10.9,,,,,,,,,,,,,16,9.9,3.6,5.4,57,86,.663,57,86,.663,1.84,.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,38.8,9,9,2.25,2.32,1.00,16,22.2,24,49,1.50,2.70,0.49,,,,,,,,,,,,,,,,,,,4,38.8,59,22-51,.431,0-0,.000,15-22,.682,,,,,,,,,
197,Larry Owens,ORU,1,35.0,2,2.0,9,9.0,11,11.0,12.6,32,31.8,97,3.0,153,4.8,250,7.8,9.8,1,10.0,4.0,7.0,4,7,.571,4,7,.571,1.43,.571,32,9.2,3.9,7.1,125,227,.551,118,204,.578,1.30,.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22.0,4,4.00,7.27,2,2.00,3,2.00,1.33,,,,,,,,,,,1,22.0,3,3,3.00,5.45,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Larry Sanders,VCU,1,29.0,4,4.0,7,7.0,11,11.0,15.2,30,27.1,92,3.1,178,5.9,270,9.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25.6,11,2.20,3.44,9,1.80,12,1.22,0.92,,,,,,,,,,,1,17.0,3,5,3.00,7.06,0.60,31,16.6,92,85,2.97,7.16,1.08,,,,,,,,,,,,,,,,,,,5,25.6,66,24-51,.471,0-0,.000,18-29,.621,,,,,,,,,
199,Lauri Markkanen,ARIZ,3,34.3,12,4.0,13,4.3,25,8.3,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15.0,5.0,5.3,15,16,.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34.3,45,14-27,.519,2-8,.250,15-16,.938,,,,,,,,,
200,Lavoy Allen,TEM,1,34.0,4,4.0,7,7.0,11,11.0,12.9,32,31.1,123,3.8,163,5.1,286,8.9,11.5,1,13.0,5.0,8.0,5,8,.625,3,6,.500,1.63,.750,32,10.9,4.6,7.9,147,254,.579,140,233,.601,1.38,.593,,,,,,,,,,,,,,,1,13.0,2.0,2,2,2,1.000,3,6,.500,1.63,.750,,,,,,,,,,,,,1,38.0,4,4.0,1,1.0,4.2,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45.0,5,4,2.50,2.22,1.25,33,29.1,52,104,1.58,2.17,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Lawrence Roberts,MSST,2,35.0,8,4.0,17,8.5,25,12.5,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15.0,1.5,3,3,5,.600,7,15,.467,1.50,.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.0,4,6,2.00,2.29,0.67,,,,,,,,2,35.0,20.0,6.5-16.0,.406,0.0-0.5,.000,7.0-9.5,.737,28,33.0,17.0,5.9-11.3,.521,0.3-1.3,.257,4.9-7.8,.628,2,35.0,40,13-32,.406,0-1,.000,14-19,.737,30,31.8,502,158-350,.451,12-40,.300,174-269,.647
202,Lazar Hayward,MARQ,2,31.5,5,2.5,14,7.0,19,9.5,12.1,33,31.7,94,2.8,189,5.7,283,8.6,10.8,,,,,,,,,,,,,,,,,,,,,,,,,2,19.5,3.0,3.5,6,7,.857,33,18.1,3.2,3.8,107,127,.843,,,,,,,,,,,,,33,13.0,1.2,3,38,84,.452,111,230,.483,1.36,.535,,,,,,,,,,,,,,,,,1,30.0,4,4.00,5.33,5,5.00,3,0.80,1.33,33,32.3,60,1.82,2.25,62,1.88,112,0.97,0.54,,,,,,,,,,,,,,,1,30.0,20.0,8.0-16.0,.500,4.0-9.0,.444,0.0-0.0,.000,33,32.3,18.1,6.5-15.1,.430,1.8-5.4,.345,3.2-3.8,.843,,,,,,,,,,33,32.3,596,214-498,.430,61-177,.345,107-127,.843
203,Leon Powe,CAL,1,38.0,6,6.0,6,6.0,12,12.0,12.6,27,29.8,92,3.4,164,6.1,256,9.5,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,2,2.00,2.11,3,3.00,1,0.67,2.00,,,,,,,,,,,1,38.0,1,1,1.00,1.05,1.00,,,,,,,,,,,,,,,,,26,35.2,20.7,6.7-13.3,.500,0.1-0.3,.333,7.3-10.1,.722,,,,,,,,,,26,35.2,539,173-346,.500,3-9,.333,190-263,.722
204,Lester Hudson,UTM,1,40.0,1,1.0,11,11.0,12,12.0,12.0,31,35.9,69,2.2,173,5.6,242,7.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,1,33.0,3.0,3.0,3,3,1.000,31,27.3,4.7,5.3,145,165,.879,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,7,7.0,6,6.0,7.0,1.17,33,36.9,148,4.5,126,3.8,4.9,1.17,,,,,,,,,,,31,35.9,73,2.35,2.62,100,3.23,82,0.73,0.89,,,,,,,,,,,,,,,1,40.0,33.0,12.0-24.0,.500,6.0-17.0,.353,3.0-3.0,1.000,31,35.9,27.3,9.7-21.7,.447,3.2-9.1,.355,4.7-5.3,.879,,,,,,,,,,31,35.9,847,301-673,.447,100-282,.355,145-165,.879
205,Lonny Baxter,MD,6,27.8,10,1.7,41,6.8,51,8.5,12.2,29,28.9,70,2.4,167,5.8,237,8.2,11.3,6,15.7,5.3,9.5,32,57,.561,32,57,.561,1.65,.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,27.8,13,15,2.17,3.11,0.87,29,28.9,56,88,1.93,2.67,0.64,,,,,,,,,,,,,,,,,,,6,27.8,94,32-57,.561,0-0,.000,30-42,.714,,,,,,,,,
206,Luc Mbah a Moute,UCLA,4,34.3,17,4.3,24,6.0,41,10.3,12.0,30,30.5,79,2.6,151,5.0,230,7.7,10.1,6,10.8,4.0,7.5,24,45,.533,24,42,.571,1.44,.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,29.8,65,24-45,.533,0-3,.000,17-27,.630,,,,,,,,,
207,Luke Babbitt,NEV,1,36.0,1,1.0,9,9.0,10,10.0,11.1,32,36.9,68,2.1,225,7.0,293,9.2,9.9,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0,11.0,12.0,11,12,.917,32,22.1,5.6,6.2,180,198,.909,,,,,,,,,,,,,32,22.1,1.3,3,42,98,.429,200,376,.532,1.49,.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,2,1,2.00,2.22,2.00,,,,,,,,1,36.0,20.0,4.0-14.0,.286,1.0-1.0,1.000,11.0-12.0,.917,32,36.9,22.1,7.6-14.8,.511,1.3-3.1,.429,5.6-6.2,.909,,,,,,,,,,33,32.5,553,190-411,.462,32-76,.421,141-164,.860
208,Luke Harangody,ND,2,33.5,13,6.5,23,11.5,36,18.0,21.5,31,28.7,103,3.3,212,6.8,315,10.2,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11.5,3.0,3.6,93,113,.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,35.3,23.8,8.0-19.0,.421,0.8-2.5,.300,7.0-9.0,.778,31,28.7,20.8,8.0-15.5,.515,0.1-0.3,.375,4.7-6.1,.767,4,35.3,95,32-76,.421,3-10,.300,28-36,.778,31,28.7,644,248-482,.515,3-8,.375,145-189,.767
